label,text,id,method,label_name
8,Uma coisa que faltou na Orla do Guaíba era um banheiro adequado para todos.,30,LMPG-BT,Recreation
8,Uma coisa que faltou na Orla do Guaíba foi um banheiro para todos.,30,LMPG-BT,Recreation
8,Uma coisa que faltava na Orla do Guaíba era banheiro adequado para todos.,30,LMPG-BT,Recreation
8,Uma coisa que faltava na Orla do Guaíba era um banheiro para todos.,30,LMPG-BT,Recreation
8,Uma coisa que falta na Orla do Guaíba é banheiro adequado para todos.,30,LMPG-BT,Recreation
8,Uma coisa que faltou na Orla do Guaíba foi um banheiro.,30,LMPG-BT,Recreation
8,Uma coisa que faltava na Orla do Guaíba eram banheiros adequados para todos.,30,LMPG-BT,Recreation
8,"A Orla do Guaíba é linda, mas não tem banheiro adequado para todos.",30,LMPG-BT,Recreation
8,Uma coisa que faltava era um banheiro adequado para todos.,30,LMPG-BT,Recreation
8,costa do guaiba muito bonito mas faltou uma coisa banheiro adeguado para todos.,30,EDA-pt,Recreation
8,orla do guaiba em frente muito bonito mas faltou uma coisa banheiro adeguado para todos.,30,EDA-pt,Recreation
8,orla do guaiba muito bonito uma vez mas faltou uma coisa banheiro adeguado para todos.,30,EDA-pt,Recreation
8,do guaiba muito bonito mas faltou uma coisa banheiro adeguado para todos.,30,EDA-pt,Recreation
8,orla do costa guaiba muito bonito mas faltou uma coisa banheiro adeguado para todos.,30,EDA-pt,Recreation
8,orla do guaiba muito bonito mas faltou uma negócio banheiro adeguado para todos.,30,EDA-pt,Recreation
8,orla do guaiba muito bonita mas uma coisa faltou banheiro passável para todos.,30,EDA-BT,Recreation
8,orla do guaíba muito bonita mas só faltou banheiro adequado para todos.,30,EDA-BT,Recreation
8,orla do guaiba muito bonita mas uma gota faltou banheiro adequado para todos.,30,EDA-BT,Recreation
8,orla do mas guaiba muito linda uma coisa faltou banheiro adequado para todos.,30,EDA-BT,Recreation
8,orla do guaiba muito bonita mas uma coisa era escapar banheiro adequado para todos.,30,EDA-BT,Recreation
8,orla do guaíba muito bonita mas faltou uma adequada para todos.,30,EDA-BT,Recreation
8,"Ilha do Guaiba muito bonito, mas sem uma casa, banheiro adeguado para todos.",30,CWE,Recreation
8,"praia do Guaiba muito bonita, mas faltou uma coisa, banheiro seguro para todos.",30,CWE,Recreation
